web-scraper-order,web-scraper-start-url,conf_oot,conf_oot-href,confid,conf-name,conf-desc,conf-image-src,conf-url,conf-url-href,event_url,event_url-href
"1542718975-79","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","MobiSys","Mobile Systems, Applications, and Services","The annual MobiSys Conference seeks to present innovative and significant research on the design, implementation, usage, and evaluation of mobile computing and wireless systems, applications, and services. It is jointly sponsored by ACM SIGMOBILE and the USENIX association in cooperation with ACM SIGOPS.","https://portalparts.acm.org/event_logos/RE191.jpg","","http://www.sigmobile.org/mobisys/","Mobile Systems, Applications, and Services","https://dl.acm.org/event.cfm?id=RE191"
"1542718975-46","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","HRI","ACM/IEEE International Conference on Human-Robot Interaction","Robots are becoming part of people's everyday social lives - and will increasingly become so. In future years, robots may become caretaking assistants for the elderly, or academic tutors for our children, or medical assistants, day care assistants, or psychological counsellors. Robots may become our co-workers in factories and offices, or maids in our homes. They may become our friends. As we move to create our future with robots, hard problems in human-robot interaction (HRI) exist, both technically and socially. The Fifth Annual Conference on HRI seeks to take up grand technical and social challenges in the field - and speak to their integration. HRI is a single-track, highly selective annual conference that seeks to showcase the very best research in human-robot interaction with roots in robotics, psychology, cognitive science, HCI, human factors, artificial intelligence, organizational behavior, anthropology, and many other fields. We invite broad participation.","https://portalparts.acm.org/event_logos/677/677.jpg","","http://hri2011.net/","ACM/IEEE International Conference on Human-Robot Interaction","https://dl.acm.org/event.cfm?id=RE285"
"1542718975-116","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","WISEC","Security and Privacy in Wireless and Mobile Networks","As wireless networks become ubiquitous, their security gains in importance. The ACM Conference on Wireless Network Security (WiSec) aims at exploring attacks on wireless networks as well as techniques to thwart them. The considered networks encompass cellular, metropolitan, local area, vehicular, ad hoc, satellite, underwater, cognitive radio, and sensor networks, as well as RFID.


WiSec results from the merger of three workshops:


* ESAS (European Workshop on the Security of Ad Hoc and Sensor Networks)


* SASN (ACM Workshop on the Security of Ad Hoc and Sensor Networks)


* WiSe (ACM Workshop on Wireless Security)","https://portalparts.acm.org/event_logos/RE295.jpg","","http://www.sigsac.org/wisec/WiSec2011/","Security and Privacy in Wireless and Mobile Networks","https://dl.acm.org/event.cfm?id=RE295"
"1542718975-44","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","HPDC","High Performance Distributed Computing","HPDC is the premier computer science conference for presenting new results relating to large scale high performance and distributed systems used in science and industry. For twenty years, HPDC has been at the center of new discoveries in clusters, grids, clouds, and parallel and multicore computers. HPDC is sponsored by the Association for Computing Machinery and the conference proceedings are published by the ACM Digital Library.","https://portalparts.acm.org/event_logos/769/769.jpg","","http://www.hpdc.org/2011/","High Performance Distributed Computing","https://dl.acm.org/event.cfm?id=RE300"
"1542718975-80","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","MOD","International Conference on Management of Data","The annual ACM SIGMOD/PODS conference is a leading international forum for database researchers, practitioners, developers, and users to explore cutting-edge ideas and results, and to exchange techniques, tools, and experiences.","https://portalparts.acm.org/event_logos/RE227.jpg","","http://www.sigmod.org/","International Conference on Management of Data","https://dl.acm.org/event.cfm?id=RE227"
"1542718975-78","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","MobiHoc","Mobile and Ad Hoc Networking and Computing","The ACM International Symposium on Mobile Ad Hoc Networking and Computing, known as MobiHoc, is sponsored by ACM SIGMOBILE> It focuses on the latest research in the rapidly growing area of mobile ad hoc networking and computing, bringing together researchers and practitioners from a broad spectrum of wireless networking research to present the most up-to-date results and achievements in the field. The symposium will include a highly selective technical program, hands-on research demonstrations, a distinguished keynote address, and panels.","https://portalparts.acm.org/event_logos/RE367.jpg","","http://www.sigmobile.org/mobihoc/2010/","Mobile and Ad Hoc Networking and Computing","https://dl.acm.org/event.cfm?id=RE367"
"1542718975-17","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","CODASPY","Data and Application Security and Privacy","With rapid global penetration of the Internet and smart phones and the resulting productivity and social gains, the world is becoming increasingly dependent on its cyber infrastructure. Criminals, spies and predators of all kinds have learnt to exploit this landscape much quicker than defenders have advanced in their technologies. Security and Privacy has become an essential concern of applications and systems throughout their lifecycle. Security concerns have rapidly moved up the software stack as the Internet and web have matured. The security, privacy, functionality, cost and usability tradeoffs necessary in any practical system can only be effectively achieved at the data and application layers. This new conference provides a dedicated venue for high-quality research in this arena, and seeks to foster a community with this focus in cyber security.","https://portalparts.acm.org/event_logos/RE397.jpg","","http://www.codaspy.org/","Data and Application Security and Privacy","https://dl.acm.org/event.cfm?id=RE397"
"1542718975-6","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","ASPDAC","Asia and South Pacific Design Automation Conference","ASP-DAC is the annual international conference on VLSI design automation in Asia and South Pacific region, one of the most active regions of design and fabrication of silicon chips in the world.


The conference aims at providing the Asian and South Pacific CAD/DA and Design community with opportunities of presenting recent advances and with forums for future directions in technologies related to Electronic Design Automation (EDA). 


The format of the meeting intends to cultivate and promote an instructive and productive interchange of ideas among EDA researchers/developers and system/circuit/device designers. All scientists, engineers, and students who are interested in theoretical and practical aspects of VLSI design and design automation are welcomed to ASP-DAC.","https://portalparts.acm.org/event_logos/re387.jpg","","http://www.aspdac.com/aspdac2011/general/","Asia and South Pacific Design Automation Conference","https://dl.acm.org/event.cfm?id=RE387"
"1542718975-114","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","Web3D","3D technologies for the World Wide Web","The annual ACM Web3D Conference is a major event which unites researchers, developers, entrepreneurs, experimenters, artists and content creators in a dynamic learning environment. Attendees share and explore methods of using, enhancing and creating new 3D Web and Multimedia technologies such as X3D, VRML, Collada, MPEG family, U3D, Java3D and other technologies. The conference also focuses on recent trends in interactive 3D graphics, information integration and usability in the wide range of Web3D applications from mobile devices to high-end immersive environments.","https://portalparts.acm.org/event_logos/RE123.jpg","","http://www.web3d.org/conferences/web3d2011/","3D technologies for the World Wide Web","https://dl.acm.org/event.cfm?id=RE123"
"1542718975-112","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","VEE","ACM SIGPLAN/SIGOPS International Conference on Virtual Execution Environments (VEE)","Virtualization has a central role in modern systems. It constitutes a key aspect in a wide range of environments, from small mobile computing devices to large-scale data centers and computational clouds. Virtualization techniques are used across all layers of the software stack down to the microarchitectural level, encompassing the underlying hardware, the operating system, and the runtime system. While the approaches at different layers can differ dramatically, they tend to have similarities, and they must often tackle related challenges. The ACM SIGPLAN/SIGOPS International Conference on Virtual Execution Environments (VEE) brings together researchers and practitioners from different computer systems domains to interact and share ideas in order to advance the state of the art of virtualization and to broaden its applicability.","https://portalparts.acm.org/event_logos/RE287.jpg","","http://www.cs.technion.ac.il/~erez/vee11/VEE_2011/Home_Page.html","ACM SIGPLAN/SIGOPS International Conference on Virtual Execution Environments (VEE)","https://dl.acm.org/event.cfm?id=RE287"
